App Instance ID,v1 User ID,Time Zone Offset,Advertising Identifier,Advertising Tracking Enabled,Application UUID,Application Name,Application Identifier,Platform,Organization UUID,Visit ID,Visit Start,Visit End,Dwell Time (seconds),Place UUID,Place Name,Fence Type,Latitude,Longitude,Exit Latitude,Exit Longitude
be6cc37a-7905-4dfe-8c91-5edd22c3e132,zfUEOJeAEW7Mn4B8PU2WjqtJ5YA=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,8bafa46c-3889-4245-af35-420c9c416ca8,03/27/2019 16:03:54,03/27/2019 16:04:45,51,ADD6CC8ABF3F445C8F801420DA798C65,Nose_MyBeacon,BEACON,0.0,0.0,0.0,0.0
be6cc37a-7905-4dfe-8c91-5edd22c3e132,zfUEOJeAEW7Mn4B8PU2WjqtJ5YA=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,c0aa7033-1e1c-4e8f-b6e7-9d89acdca42f,03/27/2019 16:06:22,03/27/2019 16:07:39,77,ADD6CC8ABF3F445C8F801420DA798C65,Nose_MyBeacon,BEACON,0.0,0.0,0.0,0.0
589f9d33-4195-4556-aa6b-c3fe504dc01f,DNQaFA3urN8WFLu6d7UQQJgjJPk=,-14400000,96ecc4e0-cf26-4fc0-9e23-f195a2f2441a,true,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,6dad4e84-b373-4ffe-b9fc-8d3abd8de477,03/27/2019 22:02:17,03/27/2019 22:02:33,16,ADD6CC8ABF3F445C8F801420DA798C65,Nose_MyBeacon,BEACON,0.0,0.0,0.0,0.0
740b00eb-d591-4077-bf0f-062e536f43ab,Aj4KbEB3ckPi2onkTLT5Mz1onU4=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,db1b189f-de3b-4717-90a0-c750525d6e6a,03/27/2019 19:08:47,03/27/2019 19:09:45,58,ADD6CC8ABF3F445C8F801420DA798C65,Nose_MyBeacon,BEACON,0.0,0.0,0.0,0.0
740b00eb-d591-4077-bf0f-062e536f43ab,Aj4KbEB3ckPi2onkTLT5Mz1onU4=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,9da36bed-22cc-43e1-b5da-ea37c1206fe6,03/27/2019 19:08:47,03/27/2019 19:09:45,58,EF979A2756A542AFA399AAC25995CC72,Nose_MyBeacon_AVW,BEACON,0.0,0.0,0.0,0.0
740b00eb-d591-4077-bf0f-062e536f43ab,Aj4KbEB3ckPi2onkTLT5Mz1onU4=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,4b9788b4-38a4-4b52-9259-d89e8826b467,03/27/2019 19:15:06,03/27/2019 19:15:51,45,ADD6CC8ABF3F445C8F801420DA798C65,Nose_MyBeacon,BEACON,0.0,0.0,0.0,0.0
108401f4-6136-4d02-aa39-6b174c8246d4,vpP+nYIefAaGSBxSXw3Nkycbo7I=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,a9dce37c-88f3-4ba1-a3a6-367343af1b06,03/27/2019 19:21:02,03/27/2019 19:21:44,41,ADD6CC8ABF3F445C8F801420DA798C65,Nose_MyBeacon,BEACON,0.0,0.0,0.0,0.0
108401f4-6136-4d02-aa39-6b174c8246d4,vpP+nYIefAaGSBxSXw3Nkycbo7I=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,8cab2771-7af2-4aa1-b5a6-4f46ae22c91f,03/27/2019 19:21:02,03/27/2019 19:21:44,41,EF979A2756A542AFA399AAC25995CC72,Nose_MyBeacon_AVW,BEACON,0.0,0.0,0.0,0.0
108401f4-6136-4d02-aa39-6b174c8246d4,vpP+nYIefAaGSBxSXw3Nkycbo7I=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,77aec2c7-7e41-4000-942b-a6a39d5cdb47,03/27/2019 19:26:04,03/27/2019 19:26:04,0,ADD6CC8ABF3F445C8F801420DA798C65,Nose_MyBeacon,BEACON,0.0,0.0,0.0,0.0
8c096db7-a2d1-418e-8ddf-f4060ec70dfc,niqsyPyR5LyabbWN2xgVVztgZbc=,-14400000,,,2718131AE95B4496B368E1BC765DC736,My App,com.gimbal.hello_gimbal_android,android,CA9CF974-DBE8-4A9D-B4BF-E3D996D86A5E,27c60259-7845-41b3-b314-88a440e19b6d,03/27/2019 21:46:23,03/27/2019 21:48:41,138,EF979A2756A542AFA399AAC25995CC72,Nose_MyBeacon_AVW,BEACON,0.0,0.0,0.0,0.0
